1am 0.010
3b-swf 0.583
3bgl-shader 0.249
3bmd 0.032
3d-matrices 0.023
3d-vectors 0.052
a-cl-logger 0.061
able 0.057
abnf 0.022
abstract-classes 0.031
access 0.032
acclimation 0.024
advanced-readtable 0.015
adw-charting 0.014
agnostic-lizard 0.027
agutil 0.034
ahungry-fleece 0.062
alexa 0.019
alexandria 0.022
algebraic-data-library 0.016
also-alsa 0.031
amazon-ecs 0.133
anaphora 0.012
anaphoric-variants 0.013
antik 0.137
apply-argv 0.014
april 0.046
arc-compat 0.246
architecture.builder-protocol 0.021
architecture.service-provider 0.056
archive 0.033
arnesi 0.129
array-operations 0.024
array-utils 0.010
arrow-macros 0.047
arrows 0.011
asd-generator 0.025
asdf-dependency-grovel 0.023
asdf-encodings 0.009
asdf-finalizers 0.011
asdf-linguist 0.056
asdf-manager 0.067
asdf-package-system 0.008
asdf-system-connections 0.012
asdf-viz 0.025
asdf 0.007
aserve 0.111
assoc-utils 0.011
asteroids 0.074
atdoc 0.056
authenticated-encryption 0.033
avatar-api 0.079
aws-foundation 0.105
aws-sign4 0.079
ayah-captcha 0.077
babel 0.045
base-blobs 0.025
base64 0.011
basic-binary-ipc 0.073
beast 0.013
beirc 0.215
bencode 0.018
bert 0.026
bibtex 0.031
big-string 0.011
binary-io 0.021
binary-types 0.019
binascii 0.019
binfix 0.014
binomial-heap 0.013
birch 0.031
bit-ops 0.026
bit-smasher 0.015
bitfield-schema 0.016
bitio 0.034
bk-tree 0.013
bknr.xml 0.041
black-tie 0.015
blackbird 0.014
bodge-blobs-support 0.025
bodge-chipmunk 0.074
bodge-glad 0.025
bodge-glfw 0.057
bodge-nanovg 0.064
bodge-nuklear 0.093
bodge-ode 0.085
bodge-openal 0.054
bodge-sndfile 0.069
bordeaux-fft 0.013
bordeaux-threads 0.016
bourbaki 0.022
bst 0.011
bt-semaphore 0.016
btrie 0.032
bubble-operator-upwards 0.011
buildapp 0.017
buildnode 0.059
burgled-batteries.syntax 0.042
burgled-batteries 0.158
bytecurry.asdf-ext 0.011
bytecurry.mocks 0.016
cacle 0.024
calispel 0.024
cambl 0.059
can 0.011
caramel 0.056
carrier 0.066
cartesian-product-switch 0.013
caveman 0.215
caveman2-widgets-bootstrap 0.121
caveman2-widgets 0.117
ccl-compat 0.017
ccldoc 0.046
cells 0.046
cepl.camera 0.145
cepl.devil 0.092
cepl.drm-gbm 0.105
cepl.glop 0.121
cepl.sdl2-image 0.111
